City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Kencong,-8.2833,113.3667,84.78,70,100,9.31,ID,2022-02-04 07:08:26
68,Wencheng,33.0559,113.7978,48.92,42,5,11.3,CN,2022-02-04 07:08:26
69,Hilo,19.7297,-155.09,71.4,88,40,3.44,US,2022-02-04 07:08:27
70,Torbay,47.6666,-52.7314,40.39,92,100,20.71,CA,2022-02-04 07:05:32
71,Coquimbo,-29.9533,-71.3436,62.33,82,20,4.61,CL,2022-02-04 07:08:27
72,Aripuana,-9.1667,-60.6333,71.2,99,100,0.78,BR,2022-02-04 07:08:28
73,Lorengau,-2.0226,147.2712,83.28,64,100,8.32,PG,2022-02-04 07:08:28
74,Codrington,-38.2667,141.9667,65.28,68,53,16.98,AU,2022-02-04 07:08:29
75,Mar Del Plata,-38.0023,-57.5575,66.87,96,100,0.0,AR,2022-02-04 07:07:59
76,Bredasdorp,-34.5322,20.0403,65.28,49,100,7.85,ZA,2022-02-04 07:08:30
77,Mucurapo,10.6667,-61.5333,75.25,75,31,8.68,TT,2022-02-04 07:08:30
78,Okato,-39.2,173.8833,74.91,79,16,11.7,NZ,2022-02-04 07:08:31
79,Cidreira,-30.1811,-50.2056,74.53,90,100,10.74,BR,2022-02-04 07:08:31
80,Kapaa,22.0752,-159.319,66.52,59,40,4.61,US,2022-02-04 07:08:32
81,Sorland,67.667,12.6934,30.06,93,100,33.38,NO,2022-02-04 07:04:36
82,Florence,43.7667,11.25,52.3,92,75,1.14,IT,2022-02-04 07:08:01
83,Lekoni,-1.5843,14.2591,72.9,86,100,5.35,GA,2022-02-04 07:08:33
84,Alice Springs,-23.7,133.8833,80.15,29,60,14.97,AU,2022-02-04 07:08:33
85,Castro,-24.7911,-50.0119,63.91,98,100,2.77,BR,2022-02-04 07:08:34
86,Zabol,32.25,67.25,39.27,35,6,10.02,AF,2022-02-04 07:08:34
87,Bluff,-46.6,168.3333,54.81,75,100,8.68,NZ,2022-02-04 07:04:15
88,Chissamba,-12.1667,17.3333,65.1,91,100,2.26,AO,2022-02-04 07:08:35
89,Chicama,-7.8447,-79.1469,69.93,79,31,4.0,PE,2022-02-04 07:08:35
90,Bengkulu,-3.8004,102.2655,82.22,78,85,7.2,ID,2022-02-04 07:09:36
91,East London,-33.0153,27.9116,71.51,72,100,14.25,ZA,2022-02-04 07:09:36
92,Matara,5.9485,80.5353,85.17,60,8,6.91,LK,2022-02-04 07:09:37
93,Komsomolskiy,40.4272,71.7189,44.02,42,0,2.3,UZ,2022-02-04 07:09:37
94,Birin,26.8865,88.0718,44.65,78,100,7.43,NP,2022-02-04 07:09:38
95,Jammu,32.7333,74.8667,50.31,65,84,6.42,IN,2022-02-04 07:06:10
96,Bonfim,3.0833,-59.95,76.35,73,94,9.64,BR,2022-02-04 07:09:38
97,Cabo San Lucas,22.8909,-109.9124,64.51,68,0,4.05,MX,2022-02-04 07:08:38
98,Manacapuru,-3.2997,-60.6206,75.78,92,97,0.11,BR,2022-02-04 07:09:39
99,Kailua,21.4022,-157.7394,71.74,85,0,1.99,US,2022-02-04 07:07:52
100,Santa Vitoria Do Palmar,-33.5189,-53.3681,68.45,96,100,4.79,BR,2022-02-04 07:09:40
101,Sao Joao Da Barra,-21.6403,-41.0511,73.36,93,91,3.09,BR,2022-02-04 07:07:52
102,Tuktoyaktuk,69.4541,-133.0374,-23.24,100,100,7.85,CA,2022-02-04 07:09:40
103,Saint-Philippe,-21.3585,55.7679,85.59,92,100,32.23,RE,2022-02-04 07:05:29
